22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-4639,4,V3Fe3(TeO8)2,P1,1541,FALSE,top-down,140,50,mp-775464
2dm-4641,4,SrTa2Bi2O9,Pmc2_1,2287,FALSE,top-down,100,33,mp-556569
2dm-4643,4,Li4V(TeO4)3,P2,324,FALSE,top-down,226,234,mp-779999
2dm-4646,4,Tl2PAuS4,P2_1/m,1479,FALSE,top-down,8,,mp-9510
2dm-4648,4,LiSnPO4,Pc,0,FALSE,top-down,585,625,mp-755392
2dm-4650,4,Al2Si2H4O9,P1,4481,FALSE,top-down,36,48,mp-721216
2dm-4653,4,SmZnPO,P-3m1,1711,TRUE,top-down,0,123,mp-550820
2dm-4655,4,LiV2OF7,Cm,2087,FALSE,top-down,105,107,mp-764204
2dm-4662,4,CaH6C2O7,P-1,3520,FALSE,top-down,80,74,mp-559469
2dm-4669,4,HgH2NCl,Pmma,2303,TRUE,top-down,167,115,mp-643754
2dm-4670,4,Sr2Cu2BiO7,Pmc2_1,0,FALSE,top-down,152,23,mvc-285
2dm-4673,4,MgGe2WO6,P2_1/c,1539,FALSE,top-down,128,,mvc-8402
2dm-4674,4,Hg3AsSe4Br,P3m1,1831,TRUE,top-down,12,145,mp-567949
2dm-4675,4,CdHgAsBr,Pmma,1383,FALSE,top-down,7,72,mp-569454
2dm-4677,4,NaCdPO4,P2_1/m,2866,FALSE,top-down,127,,mp-6684
2dm-4678,4,Li2Fe2Si2O7,P-1,3408,TRUE,top-down,88,27,mp-762810
2dm-4690,4,MnBiS2Br,P2/m,0,FALSE,top-down,176,258,mp-557805
2dm-4697,4,In2GaBiS6,P2_1/m,589,FALSE,top-down,96,160,mp-556231
2dm-4704,4,NaBH8O7,P-1,4030,TRUE,top-down,49,65,mp-721727
2dm-4705,4,Fe3P2(HO)16,P2/m,2325,FALSE,top-down,50,62,mp-742859
2dm-4706,4,Tl2Ni(CN)4,Pmna,2481,FALSE,top-down,173,94,mp-569704
2dm-4708,4,VAg(PSe3)2,C2,95,FALSE,top-down,12,72,mp-6543
2dm-4725,4,AgCNO,Pmm2,1221,FALSE,top-down,839,124,mp-545730
2dm-4736,4,CoH2SeO4,Pc,2594,FALSE,top-down,30,35,mp-541780
2dm-4737,4,LiCo5O5F,P3m1,0,FALSE,top-down,,325,mp-764225
2dm-4753,4,Hg3AsS4Cl,P3m1,2144,TRUE,top-down,23,147,mp-559355
2dm-4764,4,AgBiSCl2,Pmma,759,FALSE,top-down,109,241,mp-556094
2dm-4766,4,LiVSiO4,P2_1/m,2301,FALSE,top-down,108,105,mp-767447
2dm-4781,4,CuBiSCl2,Pmma,263,FALSE,top-down,174,240,mp-554238
2dm-4802,4,Na2Hf(HO)6,P-31m,3607,FALSE,top-down,48,69,mp-643896
2dm-4805,4,CdBiS2Br,P2/m,849,TRUE,top-down,153,255,mp-561079
2dm-4807,4,Li2MnP2O7,P-42_1m,4213,TRUE,top-down,152,120,mp-853134
2dm-4810,4,MnCSO7,P2_1/m,2,FALSE,top-down,95,45,mp-769958
2dm-4812,4,LiB(HO2)2,P2_1/c,3595,TRUE,top-down,29,48,mp-698205
2dm-4817,4,KV3(SeO6)2,P3,2382,FALSE,top-down,,80,mp-559650
2dm-4823,4,LuH2ClO2,P2_1/m,4268,TRUE,top-down,37,92,mp-976349
2dm-4825,4,SrTa2H2O7,P4/mmm,2224,FALSE,top-down,105,44,mp-990430
2dm-4829,4,Bi2Te2WO10,P2/c,3040,FALSE,top-down,57,135,mp-566831
2dm-4830,4,LiVCuO4,Pmma,0,FALSE,top-down,267,303,mp-764692
2dm-4835,4,LiFePO4,Pmma,2933,TRUE,top-down,312,351,mp-765913
2dm-4837,4,Sr2Mn2GaO7,Pmc2_1,0,FALSE,top-down,211,14,mvc-572
2dm-4843,4,KBi(PSe3)2,P2_1/c,1431,FALSE,top-down,39,,mp-569435
2dm-4852,4,ZnP2(HO)4,Pmma,4640,TRUE,top-down,86,32,mp-697451
2dm-4853,4,LiVBO4,P2_1/m,1267,FALSE,top-down,102,54,mp-770028
2dm-4855,4,FeBiSbS4,Pmc2_1,0,FALSE,top-down,,201,mp-601716
2dm-4860,4,SnPO3F,Pc,3854,TRUE,top-down,0,51,mp-555838
2dm-4862,4,Ca2Cu(BrO)2,P4/mmm,0,FALSE,top-down,0,42,mp-545481
2dm-4866,4,InSb2S4Br,P2_1/m,1489,FALSE,top-down,26,134,mp-559864
2dm-4870,4,Cu3Se2(ClO3)2,C2/m,0,FALSE,top-down,3,42,mp-557136
